tool_ratio,qps,seed,policy,count,mean_wait,p95_wait,p99_wait,max_wait,starvation_count,mean_speedup_vs_fcfs,p95_speedup_vs_fcfs,p99_ratio_vs_fcfs
0.0,5.0,202,tail_safe,500,21096.949,40363.018,41543.022,41798.557,428,1.0,1.0,1.0
0.0,5.0,202,gated_hybrid,500,13817.069,43504.279,53866.336,57155.469,314,1.527,0.928,1.297
0.0,2.0,303,fcfs,500,288.804,1318.313,1776.825,2515.965,0,1.0,1.0,1.0
0.0,2.0,303,pure_ltr,500,223.628,869.397,3034.859,3915.411,0,1.291,1.516,1.708
0.0,2.0,303,ltr_aging,500,223.172,985.905,2049.665,3127.061,0,1.294,1.337,1.154
0.0,2.0,303,tail_safe,500,288.804,1318.313,1776.825,2515.965,0,1.0,1.0,1.0
0.0,2.0,303,gated_hybrid,500,223.172,985.905,2049.665,3127.061,0,1.294,1.337,1.154
0.0,3.0,303,fcfs,500,884.822,3320.987,4620.569,5213.718,3,1.0,1.0,1.0
0.0,3.0,303,pure_ltr,500,542.668,2496.291,5348.916,16712.17,7,1.631,1.33,1.158
0.0,3.0,303,ltr_aging,500,618.665,2486.628,5034.718,6416.7,6,1.43,1.336,1.09
0.0,3.0,303,tail_safe,500,884.822,3320.987,4620.569,5213.718,3,1.0,1.0,1.0
0.0,3.0,303,gated_hybrid,500,618.665,2486.628,5034.718,6416.7,6,1.43,1.336,1.09
0.0,4.0,303,fcfs,500,8500.378,15782.929,16407.463,16637.165,358,1.0,1.0,1.0
0.0,4.0,303,pure_ltr,500,3603.186,17840.261,65562.535,129520.426,54,2.359,0.885,3.996
0.0,4.0,303,ltr_aging,500,5509.725,17154.406,24372.142,29110.529,218,1.543,0.92,1.485
0.0,4.0,303,tail_safe,500,8500.378,15782.929,16407.463,16637.165,358,1.0,1.0,1.0
0.0,4.0,303,gated_hybrid,500,5509.725,17154.406,24372.142,29110.529,218,1.543,0.92,1.485
0.0,5.0,303,fcfs,500,18938.574,38121.809,39774.701,40041.786,467,1.0,1.0,1.0
0.0,5.0,303,pure_ltr,500,8840.683,67294.909,101922.32,130085.764,99,2.142,0.566,2.562
0.0,5.0,303,ltr_aging,500,12498.902,39014.839,49241.379,62559.086,309,1.515,0.977,1.238
0.0,5.0,303,tail_safe,500,18938.574,38121.809,39774.701,40041.786,467,1.0,1.0,1.0
0.0,5.0,303,gated_hybrid,500,12498.902,39014.839,49241.379,62559.086,309,1.515,0.977,1.238
0.0,2.0,404,fcfs,500,453.822,2355.323,3496.609,3960.663,0,1.0,1.0,1.0
0.0,2.0,404,pure_ltr,500,299.731,1059.856,4107.341,8519.409,3,1.514,2.222,1.175
0.0,2.0,404,ltr_aging,500,324.291,1372.312,3460.737,4953.064,0,1.399,1.716,0.99
0.0,2.0,404,tail_safe,500,453.822,2355.323,3496.609,3960.663,0,1.0,1.0,1.0
0.0,2.0,404,gated_hybrid,500,324.291,1372.312,3460.737,4953.064,0,1.399,1.716,0.99
0.0,3.0,404,fcfs,500,934.236,2635.463,3412.177,3595.059,0,1.0,1.0,1.0
0.0,3.0,404,pure_ltr,500,566.633,2339.351,5949.209,13296.046,10,1.649,1.127,1.744
0.0,3.0,404,ltr_aging,500,619.066,2504.108,4173.381,5044.497,1,1.509,1.052,1.223
0.0,3.0,404,tail_safe,500,934.236,2635.463,3412.177,3595.059,0,1.0,1.0,1.0
0.0,3.0,404,gated_hybrid,500,619.066,2504.108,4173.381,5044.497,1,1.509,1.052,1.223
